Name,Author,Rating,Review Text
,RA M,1,"I always advise businesses to not allow customers waiting for service the time to write posts like this. And this is no exception. At the risk of sounding patronizing, let me give you some business, mathematics, language and ethics 101 lessons. Business hours are business hours. They communicate that customers can get service during these times. Not we might be open and “come back in 20 minutes when the person is done coffee break”.  Absolutely nothing against workers taking their much deserved breaks. But organizing around the staffing and their breaks is the responsibility of the business, and not the customer during business hours. But silly me, perhaps, for deigning to put a government agency like Canada Post in the category of a business. Or for that matter, the government of Canada and its so-called managers in the category of “by the people for the people…..”"
,Cookie,3,"Amazing mailing prices. Was really disappointed with my experience here today though. I have very poor handwriting due to my autism, and I asked the post office cashier if the addresses I wrote were readable. She didn’t answer my question, and instead responded with “Well, that’s the school’s fault for not teaching you to write.” in a condescending tone. I left feeling very uncomfortable."
,Mercedes Madison,2,"Not a bad location, but seem to be consistently out of stock of particular items for weeks. This is very frustrating to me as I rely on shipping supplies from this location to run a small business. Frequently they are out of certain items and do not restock for over two weeks. I have never had this issue with other locations"
,Narelle Waite,2,"I posted an intentional parcel and it was quite expensive and weighing just over 500grams, the assistant said he would check if making it under 500g would help. He lied, said he did and it didn't change anything. I have since checked with the Canada post website using the measurements of the postage parcel I purchased and both weight options. Postage halves from $42 to $22, I'm really angry about that - I'd have gladly removed an unnecessary 50gram item.
The man was pleasant but ultimately, unhelpful."
,Brad Taylor,5,Grateful for the hours and great staff at this Canada Post in Shoppers. Thank you for being open 7 days a week.
,E B,1,"This location has the most unknowledgeable staff of all Canada Post locations. Every trip is a significant wait. There’s a young man with an accent that has absolutely no ability to do any transaction that takes less than 20 minutes. When I first encountered him I thought maybe he was new and learning but 6 months later it’s kind of clear he’s just slow. He works at Canada Post and is not even familiar with how Canadian addresses are written! He types at the rate of about 3 words per minute and forgets information as soon as it is given to him - I watched him unable to take a phone number and kept repeating 613 even though the number started with 343 and the client repeated it over and over. Every trip here takes at least 20 minutes, even when there’s no line! And if there is a line - expect a wait of 30 - 40 minutes MINIMUM."
,Waldo Landorf,3,The older gentleman is very polite and helpful. The younger workers not so much. Be prepared for massive sticker shock sending a package . overseas especially a return. Exorbitant and the sign of a monopoly.
,Autumn Bigras,1,"My first negative review..if I could give zero stars I would

The staff member I dealt with absolutely had no clue how to work there and it was a really negative experience

Made three attempts to pick up package, would rather never go to that location again"
,Terri Hearn,5,I send quite a number of packages around Christmas and received many items over the year. The service is impeccable. The staff are very knowledgeable and kind. I love my post office. I will absolutely continue to use their services. I highly recommend.
,Andrea Burbidge,1,"I tried to pick up a package 3 times. The first time delivery was attempted, I was self-isolating at home. Somebody else (a Canada Post employee) signed my name for the package and marked it as delivered on August 2nd. At this point, the first investigation was opened by Canada Post.

Following this investigation, delivery was reattempted. I got a delivery notice on August 30th saying my package would be ready to pick up August 31st after 1pm. After 1pm, I arrive at the post office with my delivery notice. The man working there told me the package had already been delivered on August 2nd. I pointed out to him that the status update showed that it was out for delivery and being held as of August 30th, so it was clearly not delivered on August 2nd. As well, I had a delivery notice marked the 30th. He refused to acknowledge that it couldn't have been delivered on the 2nd, kept pointing at the progress bar, and refused to physically check the back for the package. He advised me to call Canada Post.

I called Canada Post and opened a second investigation. Following that investigation, I received a third delivery notice on September 1st, stating my package would be ready for pickup on September 2nd after 1pm.

On September 2nd, I arrived at the post office after 1pm and asked if I could pick up my package. I was told it had already been delivered - on August 2nd. Once again, the same employee refused to go physically check in the back. I had to phone back Canada Post, and have them on speaker phone with this man at the post office. The nice woman on the phone from Canada Post assured this man that she had seen the package in his post office yesterday, and asked him to go check physically. Only at this point did the man go check the back for the package. Lo and behold, it was there.

At this point, this man starts explaining to me everything that I had done wrong. He point to the delivery notice and said it could only be picked up by the addressee. As I was the addressee, this was a bizarre point to make. Overall it was one of the worst customer service experiences I have ever had, and I will do anything in my power to avoid going back here."
,Anita E,5,"Great customer service, never had an issue here. Barbara is super helpful and I'm always confident my packages will be dispatched efficiently here. Thank you!"
,Dakkar (Rabanne),1,The woman that works there in the afternoons is rude and has an attitude if you ask for a receipt. I wish they’d replace her
,Megan Farquhar,1,"Horrible horrible horrible service constantly! They have lost my packages on a number of occasions. Once they even gave me someone else’s package when going to pick up my own, I didn't notice until I was already back home and opening it! The employees are always miserable and rude, often leaving the desk unattended for 10+ minutes at a time. Most recently they said my package wasn't delivered just for me to go in a few days later looking for a different package that also “wasnt delivered” (although I got both confirmation emails) but when I went in for the second package the first magically appeared! Ridiculous. Will never use this post office again."
,Joan Beverley,5,Great service fast and the staff alway polite. Barbara thank you for your professionalism.
,Christi Volden,4,Conveniently located in College Square’s Rexall. I had no idea it was there until I searched for a post office in the area - a newer sign would draw more attention to it. The service was good. I did have to wait quite a while (like most post offices) even though there was only one person in front of me. Will be going back for future post office needs.
,Germaine Cornellier,5,Sometimes a big lineup. People seem to have very complicated postal needs. Staff is friendly and efficient. Very helpful.
,Sylvia Z,1,"RACIST post office!! There was an employee wearing black glasses, brunette hair in a pony tail, working around 12pm on Jan 30. She was extremely rude and unhelpful, I asked her what their biggest box looked like and she just stood there pointing and said to me Can't you see it? It’s right there. As it turns out, the largest box there had no label or price tag. She kept pointing towards the English words on the box, and asked me if I could not read English? I am not fluent in English even now my friend is helping me write this review. Instead of being helpful and kind she was being racist. I don't know why they still keep this kind of person working here. There was also no manager I could report her to. This attitude is not suitable for customer service, stay at home, don't come to this location."
,Dimas Rodriguez,1,"I went to pick up my package , 6:40pm on a Tuesday and no one in the counter and it was CLOSED? Go to the Canada post at shoppers? 322 Rideau st?…. You guys have to change working hours guys it says you close at 7:00pm"
,H Boomer,2,"Poor, illogical customer service: staff moved my parcel into the busy customer service area, then complained that I was taking too long and blocking the customer service area - after THEY moved it there. Did not provide tracking info, I had to go back into the customer service line and ask for it - shouldn’t that info be provided by default? Bizarre behavior. If they provided normal, reasonable customer service, it would make their lives and the customers’ lives easier."
,Emma,1,"Very slow service at this location.
Edit: I would give this place 0 star if I could. I needed to pick up a parcel this morning, I showed her my bar code and my ID, and asked for further examination because the name on the parcel didn't match my ID. Well, I have a preferred name and a legal name, and the one on my parcel is my preffered name, the last name match each other. Also, I showed her the bar code through my phone. If I were to steal the package that supposedly didn't belong to me, I'd have to steal the phone, know the password of the phone, get to the correct canada post office, and have an ID that's a close match to the information on the parcel... I got upset with the manager and she got angry and refused to give me the package at first. I asked her to do her job and check the address. Of course, the address matched the record. She insisted that I need to use the exact name on my ID next time in order to pick up my parcel next time. I'm stunned by the stubbornness and stupidity of her. I would avoid using this Canada Post in the future."
,John _GYS,5,"These ladies are sharp! I wish I got their names today. They were right on top of a tricky little “envelope in an envelope, and track it all” dance. They were super helpful, concise, and pleasant. They keep things moving really well, but please continue to go to your usual post office and not make a long queue at this one, if you don’t mind.. just kidding.. lol"
,Abby,2,Customer service is usually friendly but half the time there’s nobody at the desk. They close earlier than expected and today I went in at 11:30 (they opened at 11) and nobody was there. Shoppers staff said that the worker was running an hour late but this is a crown Corp and shouldn’t be happening.
,Leo Lin,5,"I drive extra 15 minutes to send all my mails here. Canadapost is a pain to deal with in general. However, this particular location always offer professional and timely services that exceed my expectations. Highly recommended!"
,Aisha,5,"A million thanks for the super fast, friendly and understanding Gemma.I had to come here from another branch and I'm glad I came."
,Chris,1,"Definitely the worst experience I’ve ever had in a store before. I went in to purchase a couple credit card gift cards at Canada Post, I paid cash, and then their POS computer froze without processing the transaction. They waited maybe 5 minutes for it to come back to life with no luck, they decided to force it off using the power button but it ended up freezing upon start-up. I asked for my money back and they refused stating their policy that gift cards aren’t refundable. But I hadn’t even been given a receipt or any confirmation that the gift cards had any value. So they decided to call a 1-800 internal help number but they were placed on hold. They made me wait for 10, 20, 30, 40 minutes! I asked to speak to a manager and the manager refused to provide a refund stating that once they got through on the phone and confirmed that the payment went through than I could have my gift cards…not my money back. I explained that I can’t take the gift cards without a receipt but they still insisted on not refunding me. I’m quite certain that legally I was entitled to receipt not their word that the cards had value.

It was close to their eight o’clock closing time so they tried again to shut down and restart the till, it took maybe 10 minutes for it fully to boot up. No computer should take that long. Any computer with a processor made in the past 10 years with a Solid State Drive should take no more than 2 minutes to load fully. I overheard the employees talking to each other saying that the computer crashes often…then why don’t you call tech support and have them replace it? In the end the computer did fully start-up and there was confirmation that my purchase did not go through and I got my money back. The worst part was that the manager didn’t apologize, try to make the situation any better, or appear to even care about my situation. Instead of the manager trying the fix the situation, he left it up to his two employees. While I was leaving he was over in the makeup department laughing it up with the women there. My biggest regret is not getting his name. You wasted almost an hour of my time."
,Habib Khan,1,"A racist old lady works there. I Went there to send something but decided not to send the parcel due to high shipping cost. I was extremely polite is telling the lady that I do not want to send it anymore, because the content was not worth even $5 where the quoted shipping cost was $15.
She made a very audible sound expressing her frustration while making an annoyed face and looked away from me. Would not say anything, would not acknowledge me anymore!
If anyone from Canada Post is reading this, please investigate this and take action. You have hired a racist individual , who has no place in your team. Everyone else, AVOID this location."
,Laura Egli,4,"They are open late here which is nice. There is pretty much always a line at this location, but the staff are just so helpful and friendly (not something you always find these days)."
,Gary Green,1,"Typical Canada Post work ethics, arrived at the post office located inside the Shoppers Drug mart located at 3781 Strandherd Dr, Ottawa just before it was supposed to open at 11:00a.m.  There were 5 people in line waiting for the post office to open, however, the person working that day Kyle Brown was not there.  I enquired at the pharmacy desk asking where the C.P. employee was.  I was told at 11:08 Kyle was on his way.  This type of service is absolutely ridiculous, I drove there to  mail one letter but was not going to wait for Kyle to show up.  Employees like Kyle Brown who do not honour their hours of work should be fired.  Everyone in line today was not too happy having to wait for this inconsiderate employee of Canada Post."
,Linh Nguyen,5,"I usually go here because of exceptional service. The tall dude with the deep voice cracked a few jokes once and he made me laugh. Good vibes.

Yesterday was a tough day, apperently a staff member recently quit and they were short staff, the line was long. I was sending some of my art work to my friend across the country and was gonna take the prepaid box since I didn't have any packaging and that was the easiest option ($27). He pointed out that there's another option if I don't want tracking, only $8, and even cut up cardboard to help prevent my art print from being damaged. Much much appreciated.

Hope he finds good staff soon and know that he's doing a great job holding the fort down."
,G V. E.,5,Gentleman who works at this post office is incredibly helpful. 10/10 service.
,Luc Dupuis,5,"Harman provided exceptional customer service to me and my family to ensure that our packages, that are super important to us, have been sent asap. I hope you deal with him again in the near future."
,Darshan Patel,5,Exceptional service provided by Harman. He is very supportive and helpful. He suggested me when I was confused. Highly recommended this place. Don't go by the ratings.
,Becky Reid,1,"This Canada Post location has no respect for customers. They should not provide posted business hours as they open and close when they want to. There have been numerous occasions, including today, where I have arrived well within their posted hours of operation to see them closed.

This should not be an acceptable standard business practice.

In addition to this, if they happen to be open, they provide extremely slow service. It is common to be in line for 15-30 minutes even if there is only one person ahead of you.

I highly recommend you go to a different location."
,Al,5,"I honestly dont know why this postal office has such a bad rating. I was served by Bev, she was bilingual and super nice. I go to alot of different postal offices and Bev is probably in my top 3 favorite staff. She is efficient and serves me with a smile."
,Faiz H,5,I don't know what all the fuss is about. I had 28 packages all individually addressed and it was a smooth process. Cody carried a great conversation with us and explained the procedure on how to get them all sent out. We let him deal with customers in between our large multi shipment. I promise you'll have an easy and efficient time with Cody behind the desk. Thanks for your help!
,Stacy DuBois,1,"I waited for about 10 minutes before an employee finally came to ""help"" me. She insisted that she was incapable of printing out a return label for my online purchase even though it's a routine thing I've done at many other Canada Post locations. I asked for her to call someone who could actually help me and she refused, insisting that she is the person in charge. I took my package to another post office and (surprise, surprise) they very quickly and easily printed out the return label and accepted the package. Definitely won't bother returning to this location since they apparently don't seem to know how their own systems work."
,Kayla Monaghan,1,Don't trust the posted hours. I arrived at 8pm on a day it was supposed to be open until 9pm and it was already closed.
,techie tran,5,"Give yourself ample time since the shop is quite busy from 5-6pm with long line of customers waiting to be served and you might end up leaving full-handed. Decent experience with the staff, big thank to Théresè who helped me with sending several heavy, large boxes."
,Pitch Sookmark,1,"I used to ship and pick up at a different branch for years until I am forced to come to this ""new branch"" a few years back by Canadapost. I really hate it at this branch due to long line, slow, lethargic service. An old lady at my old branch can process mail twice as fast as these trainees here.  Also, I once had a package to pick up and they couldn't find it for weeks. They made me go thru claims which was denied because Canadapost  insisted the package was at this branch. A month later, I decided to go back and try again and there it was--my package!! No one called to tell me it was sitting there for weeks, and no apologies of any kind. I pleaded w Canadapost for me to go back to my old branch to no avail. The best I could do is avoid using Canadapost altogether whenever I can."
