Name,Author,Rating,Review Text
,shota armstrong,1,"If could give it 0 stars I would. Worst experience I’ve had trying to ship something. I got there before about 15 people but received very little help before they dealt with anyone else. Had to reenter shipping info 3 times in the computer before it actually worked. All the info was already on a label I made but I had to make their label for some reason. And for whatever reason the employees couldn’t do ship it themselves when everything there. Should have taken 2 minutes but it was 30+ minute ordeal. Lady on the phone said that it should take the package 2 days, but when I got to the centre they said 3. The call was placed within 20 minutes of me getting to the centre. Flight leaves Monday night either way so the system they use is not reliable."
,C H,1,"They NEVER tell you when they’re delivering. I have ALWAYS had to venture somewhere away from home to pick up a package, every single time despite asking to be notified when the package arrives. “I’m sorry we missed you” should be their motto."
,Zenah Surani,5,"The individual working on Sunday July 9th during the day was very helpful. I couldn't find my tracking number on my phone and only had my ID. He saw that I was struggling and retrieved my package anway, after asking a few questions. Thanks for being helpful and efficient!"
,Dakkar (Rabanne),1,"I’m yet to receive a package from Purolator on time. When I buy something online that is expensive and I find out they used Purolator to ship it I become very anxious and worried because on top of delivering my packages late, the driver doesn’t even bother ringing the bell after they dump the package outside for anyone to steal. Everything became clear and started making sense when I learnt that they are owned by Canada Post. I now call merchants before hand and ask if they have different shipping options, and if they only ship with Purolator then I don’t buy from them 🤷‍♂️"
,Jag Gill,4,I've used the Hawthorne location many times and it's always been a pleasant experience. The people who work there are joyful and seem to enjoy being at work. The staff will go above and beyond if they can and it is much appreciated.
,Shannon MacCuaig,1,"I have repeatedly had Purolator truck come to my door with a note saying they missed me - no ring or knock, no package in hand. in other words, no intention of trying to give me my package, and I had to go fetch it at this location. I'm not sure if it's fair to give this location only one star, because I don't know where the driver is from... my direct experience with this location has been good, but they couldn't do anything about the drivers in question when I complained."
,Barbara Houghton,1,"Since Christmas this store/dropoff location no longer gives receipts when you drop off your packages. So, if your parcel is not scanned it will be untrackable thus the customer will have no proof that they dropped off their parcel. The excuse I was given as to why there is NO MORE RECEIPTS, 'the paper is too expensive'.  Really Purolator, I'm sure you can afford it with what you charge or maybe you should ask Canada Post for a paper loan!!!!!!!!!!!!

Vanessa, you obviously did not read the post correctly. I am talking about PROOF OF DROP OFF. Having the shipping label is no good if it is NOT scanned. So here is the scenario: I drop off 2 packages, I leave the store, later on I look in the system for the tracking updates and only see one. Can't find the other. I go back to the store the next day and show the clerk my two tracking numbers but he/she can only find one in the system, but I dropped off two packages, they say 'Sorry Ma'am but we only have the one, are you sure you brought in two packages?'. There has to be a PROOF OF DROP OFF RECEIPT for the Customer before they leave the store. Clerks get busy,  parcels can be put in the wrong place or they think they scanned them but they have not been scanned and are passed through. The parcel should be scanned in front of the Customer and a PROOF OF DROP OFF RECEIPT provided before the Customer leaves the store. Mistakes happen and I know they do, WHY, I have had 25 years in the Postal business, I worked in many departments including the plants, so I know what I'm talking about. I will no longer use Purolator for this reason, I agree you need to cut costs, but cutting a Customer's PROOF and CONFIDENCE is not one of them and definitely not good business practice when the Customer and their merchandise is supposed to be your #1 number one priority."
,Portal,1,"Does anyone know how this company is still in business today? I read the reviews and I'm just surprised because I also met very bad service. I do not know how they delivered my package, but for several weeks the delivery person did not call me even once. If you live in an apartment building, avoid this company. They are incapable of calling people to deliver a package.
Separately, I want to say about the customer service. Generally rude and indifferent people work there. They called me three times, and I explained all three times that the delivery man would call me upon arrival. I would go downstairs and pick it up myself. The driver does not even have to climb to the top floor. But it was all useless. These are irresponsible people who do their job very badly. I requested that my package be returned to the sender and we will use another courier company to send my package.
No more Purolator."
,Cody Vanasse,1,Walk up to your door and don't even knock just put a note on your door and walk away making you go pick it up. It happens all the time so it's not just a certain driver.
,Ranmal Perera,5,"Hi, I'm the guy with the basketball hat!! I went to this Purolator store to return Bell wifi pods. Very quick and excellent service. No hassle what so ever."
