Author,Rating,Review Text,Review Text Length,Word Count,Avg Word Length,Rating Binary,Sentiment Polarity,Sentiment
RA M,1,alway advis busi allow custom wait servic time write post like except risk sound patron let give busi mathemat languag ethic lesson busi hour busi hour commun custom get servic time might open come back minut person done coffe break absolut noth worker take much deserv break organ around staf break respons busi custom busi hour silli perhap deign put govern agenc like canada post categori busi matter govern canada socal manag categori peopl peopl,450,75,5.013333333333334,0,0.15000000000000002,neutral
Cookie,3,amaz mail price realli disappoint experi today though poor handwrit due autism ask post offic cashier address wrote readabl didnt answer question instead respond well that school fault teach write condescend tone left feel uncomfort,232,35,5.6571428571428575,0,-0.17500000000000002,neutral
Mercedes Madison,2,bad locat seem consist stock particular item week frustrat reli ship suppli locat run small busi frequent certain item restock two week never issu locat,152,25,5.12,0,-0.09380952380952379,neutral
Narelle Waite,2,post intent parcel quit expens weigh gram assist said would check make g would help lie said didnt chang anyth sinc check canada post websit use measur postag parcel purchas weight option postag halv im realli angri id gladli remov unnecessari gram item man pleasant ultim unhelp,279,47,4.957446808510638,0,0.7333333333333333,positive
Brad Taylor,5,grate hour great staff canada post shopper thank open day week,62,11,4.7272727272727275,1,0.4,positive
E B,1,locat unknowledg staff canada post locat everi trip signific wait there young man accent absolut abil transact take less minut first encount thought mayb new learn month later kind clear he slow work canada post even familiar canadian address written type rate word per minut forget inform soon given watch unabl take phone number kept repeat even though number start client repeat everi trip take least minut even there line line expect wait minut minimum,456,75,5.093333333333334,0,0.07946969696969697,neutral
Waldo Landorf,3,older gentleman polit help younger worker much prepar massiv sticker shock send packag oversea especi return exorbit sign monopoli,130,19,5.894736842105263,0,0.12222222222222223,neutral
Autumn Bigras,1,first neg reviewif could give zero star would staff member dealt absolut clue work realli neg experi made three attempt pick packag would rather never go locat,159,27,4.925925925925926,0,0.25,positive
Terri Hearn,5,send quit number packag around christma receiv mani item year servic impecc staff knowledg kind love post offic absolut continu use servic highli recommend,155,24,5.5,1,0.55,positive
Andrea Burbidge,1,tri pick packag time first time deliveri attempt selfisol home somebodi els canada post employe sign name packag mark deliv august nd point first investig open canada post follow investig deliveri reattempt got deliveri notic august th say packag would readi pick august st pm pm arriv post offic deliveri notic man work told packag alreadi deliv august nd point statu updat show deliveri held august th clearli deliv august nd well deliveri notic mark th refus acknowledg couldnt deliv nd kept point progress bar refus physic check back packag advis call canada post call canada post open second investig follow investig receiv third deliveri notic septemb st state packag would readi pickup septemb nd pm septemb nd arriv post offic pm ask could pick packag told alreadi deliv august nd employe refus go physic check back phone back canada post speaker phone man post offic nice woman phone canada post assur man seen packag post offic yesterday ask go check physic point man go check back packag lo behold point man start explain everyth done wrong point deliveri notic said could pick addresse addresse bizarr point make overal one worst custom servic experi ever anyth power avoid go back,1193,200,4.97,0,-0.028571428571428564,neutral
Anita E,5,great custom servic never issu barbara super help im alway confid packag dispatch effici thank,94,15,5.333333333333333,1,0.5666666666666667,positive
Dakkar (Rabanne),1,woman work afternoon rude attitud ask receipt wish theyd replac,63,10,5.4,0,-0.3,negative
Megan Farquhar,1,horribl horribl horribl servic constantli lost packag number occas even gave someon els packag go pick didnt notic alreadi back home open employe alway miser rude often leav desk unattend minut time recent said packag wasnt deliv go day later look differ packag also wasnt deliv although got confirm email went second packag first magic appear ridicul never use post offic,372,61,5.114754098360656,0,0.05625,neutral
Joan Beverley,5,great servic fast staff alway polit barbara thank profession,60,9,5.777777777777778,1,0.5,positive
Christi Volden,4,conveni locat colleg squar rexal idea search post offic area newer sign would draw attent servic good wait quit like post offic even though one person front go back futur post offic need,186,33,4.666666666666667,1,0.35,positive
Germaine Cornellier,5,sometim big lineup peopl seem complic postal need staff friendli effici help,76,12,5.416666666666667,1,0.0,neutral
Sylvia Z,1,racist post offic employe wear black glass brunett hair poni tail work around pm jan extrem rude unhelp ask biggest box look like stood point said cant see right turn largest box label price tag kept point toward english word box ask could read english fluent english even friend help write review instead help kind racist dont know still keep kind person work also manag could report attitud suitabl custom servic stay home dont come locat,440,76,4.802631578947368,0,0.12738095238095237,neutral
Dimas Rodriguez,1,went pick packag pm tuesday one counter close go canada post shopper rideau st guy chang work hour guy say close pm,115,22,4.2727272727272725,0,0.0,neutral
H Boomer,2,poor illog custom servic staff move parcel busi custom servic area complain take long block custom servic area move provid track info go back custom servic line ask shouldnt info provid default bizarr behavior provid normal reason custom servic would make live custom live easier,279,45,5.222222222222222,0,-0.0045454545454545565,neutral
Emma,1,slow servic locat edit would give place star could need pick parcel morn show bar code id ask examin name parcel didnt match id well prefer name legal name one parcel preffer name last name match also show bar code phone steal packag supposedli didnt belong id steal phone know password phone get correct canada post offic id that close match inform parcel got upset manag got angri refus give packag first ask job check address cours address match record insist need use exact name id next time order pick parcel next time im stun stubborn stupid would avoid use canada post futur,581,103,4.650485436893204,0,-0.049999999999999996,neutral
John _GYS,5,ladi sharp wish got name today right top tricki littl envelop envelop track danc super help concis pleasant keep thing move realli well pleas continu go usual post offic make long queue one dont mind kid lol,207,37,4.621621621621622,1,0.27842261904761906,positive
Abby,2,custom servic usual friendli half time there nobodi desk close earlier expect today went open nobodi shopper staff said worker run hour late crown corp shouldnt happen,167,27,5.222222222222222,0,-0.1433333333333333,neutral
Leo Lin,5,drive extra minut send mail canadapost pain deal gener howev particular locat alway offer profession time servic exceed expect highli recommend,143,21,5.857142857142857,1,0.08333333333333333,neutral
Aisha,5,million thank super fast friendli understand gemmai come anoth branch im glad came,82,13,5.384615384615385,1,0.3444444444444444,positive
